Pure Storage PowerShell SDK v2 to FlashArray Purity API Version Matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated: 9/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
©Pure Storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://support.purestorage.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"To determine the latest API version on an array, open a browser to https://<FQDN or IP Address of array>/api/api_version",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDK v2 Cmdlet,API Version,AbortQuiesce,AccessTokenTtlInMs,AddIqns,AddNqns,AddWwns,Allowed,AmazonS3,ApiClientName,ApiToken,ApiVersion,AppNames,ApplyRetention,Array,ArrayName,Azure,Banner,BaseDn,BindPassword,BindUser,CaCertificate,CertificateName,Chap,CheckPeer,ClientId,CommandText,ConsoleLockEnabled,Credential,Destroyed,DisableVerbosePhoneHomeLogging,Domain,Enabled,EndPoint,EndTime,Eradicate,ExposeApiToken,FailoverPreferences,Filter,Flagged,Gateway,GoogleCloud,Group,GroupBase,GroupIds,GroupNames,HostGroupName,HostGroupNames,HostName,HostNames,IdentifyEnabled,IdleTimeout,Ids,IgnoreCertificateError,Index,Initialize,Iqns,Issuer,KeyId,Keys,Limit,LocalPodIds,LocalPodNames,Locked,LockoutDuration,LogFilename,Lun,Management,MaxLoginAttempts,MaxRole,Mediator,MemberIds,MemberNames,MinPasswordLength,Mtu,Name,Nameservers,Namespaces,Nfs,Nqns,NtpServers,Offset,OldPassword,On,Overwrite,Password,Paused,Personality,PhonehomeEnabled,Pod,PodName,PreferredArrays,Prefix,PrivateKeyFile,PrivateKeyPassword,PromoteFrom,ProtectionGroupName,ProtectionGroupSnapshotName,Protocol,ProtocolEndpoint,ProtocolEndpointNames,ProtocolGroup,Provisioned,Proxy,PublicKey,Qos,Quiesce,RemoteAssistActive,RemoteIds,RemoteNames,RemotePodIds,RemotePodNames,RemoveAllEntries,RemoveIqns,RemoveNqns,RemoveWwns,ReplicationScheduleBlackout,RequestedPromotionState,Resolution,ResourceDestroyed,ResourceIds,ResourceNames,RoleName,RoleNames,ScsiTimeout,Signature,SingleSignOnEnabled,SkipQuiesce,SlpEnabled,SnapshotSchedule,SoftwareIds,SoftwareInstallationIds,SoftwareNames,Sort,Source,SourceIds,SourceNames,SourceRetention,StartTime,SubnetName,Subtype,Suffix,Tag,TargetRetention,TestType,Timeout,TimeoutInMilliSeconds,Truncate,Uris,UserName,Versions,Vlan,VncEnabled,VolumeGroup,VolumeGroupName,VolumeName,VolumeNames,VolumeSnapshotName,WbemHttpsEnabled,WithUnknown,Wwns,XAuthToken
Connect-Pfa2Array,2.0,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,2.0,,,2.0,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
Disconnect-Pfa2Array,2.0,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get-Pfa2Admin,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,2.2,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,2.2,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get-Pfa2AdminApiToken,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,2.2,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,2.2,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get-Pfa2AdminCache,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,2.2,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get-Pfa2AdminSetting,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get-Pfa2Alert,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,2.2,,,,,,,,,,,,,2.2,,,,,,,,2.2,,,,,,,,,,,,,,,2.2,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get-Pfa2AlertEvent,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,2.2,,,,,,,,,,,,,2.2,,,,,,,,2.2,,,,,,,,,,,,,,,2.2,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
